iter	Passed	Remaining
752	25574	8388
753	25617	8358
754	25647	8322
755	25675	8286
756	25706	8251
757	25733	8215
758	25759	8179
759	25783	8142
760	25807	8105
761	25834	8069
762	25858	8032
763	25883	7995
764	25905	7957
765	25930	7921
766	25956	7885
767	25981	7848
768	26002	7811
769	26026	7774
770	26049	7737
771	26073	7700
772	26098	7664
773	26121	7627
774	26147	7591
775	26173	7555
776	26199	7519
777	26224	7483
778	26249	7446
779	26275	7410
780	26297	7374
781	26322	7337
782	26345	7301
783	26369	7264
784	26392	7228
785	26420	7193
786	26444	7157
787	26471	7121
788	26497	7086
789	26524	7050
790	26551	7015
791	26577	6980
792	26602	6944
793	26627	6908
794	26654	6873
795	26680	6837
796	26709	6802
797	26738	6768
798	26767	6733
799	26795	6698
800	26824	6664
801	26851	6629
802	26882	6595
803	26907	6559
804	26934	6524
805	26960	6489
806	26993	6455
807	27034	6424
808	27069	6390
809	27108	6358
810	27143	6325
811	27177	6292
812	27209	6258
813	27239	6224
814	27265	6189
815	27290	6153
816	27316	6118
817	27344	6083
818	27373	6049
819	27401	6014
820	27431	5980
821	27463	5947
822	27496	5913
823	27523	5878
824	27550	5843
825	27577	5809
826	27607	5775
827	27638	5741
828	27666	5706
829	27697	5672
830	27734	5640
831	27764	5606
832	27807	5574
833	27848	5542
834	27887	5510
835	27919	5477
836	27969	5446
837	28002	5413
838	28036	5380
839	28069	5346
840	28099	5312
841	28132	5278
842	28163	5245
843	28197	5211
844	28227	5177
845	28252	5142
846	28281	5108
847	28312	5074
848	28347	5041
849	28374	5007
850	28404	4973
851	28428	4938
852	28455	4903
853	28482	4869
854	28510	4835
855	28542	4801
856	28577	4768
857	28613	4735
858	28646	4702
859	28679	4668
860	28714	4635
861	28742	4601
862	28770	4567
863	28807	4534
864	28848	4502
865	28876	4468
866	28907	4434
867	28937	4400
868	28969	4367
869	29001	4333
870	29033	4299
871	29071	4267
872	29105	4234
873	29136	4200
874	29171	4167
875	29203	4133
876	29238	4100
877	29270	4067
878	29300	4033
879	29337	4000
880	29374	3967
881	29416	3935
882	29446	3901
883	29488	3869
884	29535	3837
885	29581	3806
886	29621	3773
887	29660	3740
888	29696	3707
889	29730	3674
890	29762	3641
891	29794	3607
892	29824	3573
893	29850	3539
894	29879	3505
895	29913	3472
896	29942	3438
897	29973	3404
898	30006	3371
899	30036	3337
900	30066	3303
901	30105	3270
902	30136	3237
903	30164	3203
904	30193	3169
905	30223	3135
906	30255	3102
907	30286	3068
908	30318	3035
909	30351	3001
910	30385	2968
911	30423	2935
912	30454	2902
913	30480	2868
914	30506	2833
915	30532	2799
916	30556	2765
917	30582	2731
918	30609	2697
919	30637	2664
920	30662	2630
921	30689	2596
922	30714	2562
923	30742	2528
924	30781	2495
925	30820	2462
926	30856	2429
927	30893	2396
928	30925	2363
929	30958	2330
930	30998	2297
931	31026	2263
932	31052	2229
933	31081	2196
934	31108	2162
935	31139	2129
936	31168	2095
937	31195	2061
938	31222	2028
939	31253	1994
940	31282	1961
941	31309	1927
942	31340	1894
943	31373	1861
944	31407	1827
945	31445	1794
946	31475	1761
947	31509	1728
948	31549	1695
949	31588	1662
950	31624	1629
951	31651	1595
952	31680	1562
953	31711	1529
954	31739	1495
955	31763	1461
956	31787	1428
957	31812	1394
958	31836	1361
959	31864	1327
